1,-1,688.62,63.58,60.59,146.10,1.00
1,-1,946.44,27.45,43.37,125.02,0.92
1,-1,689.02,228.68,78.07,200.30,0.91
1,-1,724.16,3.04,26.65,67.15,0.71
1,-1,1116.74,336.88,79.11,180.90,0.60
1,-1,867.37,2.05,28.63,79.54,0.34
1,-1,1200.92,371.93,46.37,77.19,0.29
1,-1,491.15,515.42,39.97,78.30,0.18
1,-1,826.01,7.54,26.83,58.10,0.17
1,-1,960.56,2.34,43.30,94.86,0.16
1,-1,946.56,19.21,49.78,130.48,0.13
1,-1,922.45,6.03,30.59,115.06,0.13
1,-1,930.24,4.61,84.52,130.34,0.11
1,-1,693.87,62.73,52.63,144.78,0.10
1,-1,701.67,62.79,44.91,74.84,0.09
1,-1,688.34,232.15,79.92,215.20,0.09
1,-1,486.83,504.30,57.38,113.21,0.08
1,-1,991.43,3.89,29.62,92.31,0.07
1,-1,1112.80,332.47,84.04,193.02,0.07
1,-1,949.58,10.00,41.34,73.50,0.06
1,-1,716.19,0.00,40.66,158.05,0.06
1,-1,974.19,32.82,28.57,113.78,0.06
1,-1,682.41,59.06,37.88,90.46,0.06
1,-1,195.27,60.92,33.15,86.49,0.05
2,-1,689.61,65.67,59.49,143.98,1.00
2,-1,945.80,28.49,46.86,123.82,0.92
2,-1,691.62,230.24,75.63,211.53,0.91
2,-1,1110.04,330.46,90.57,184.83,0.84
2,-1,867.13,1.91,29.80,77.26,0.70
2,-1,724.63,3.97,26.94,66.09,0.69
2,-1,826.55,9.56,22.99,55.95,0.34
2,-1,492.13,513.67,36.56,79.70,0.31
2,-1,953.26,5.74,61.25,127.74,0.16
2,-1,193.73,62.29,33.32,85.34,0.14
2,-1,1114.57,309.34,87.27,125.53,0.14
2,-1,958.89,4.54,42.28,82.28,0.13
2,-1,1205.12,367.99,42.72,74.59,0.13
2,-1,924.76,8.41,32.17,114.06,0.11
2,-1,693.86,64.51,52.26,142.61,0.10
2,-1,1104.94,321.33,97.32,201.46,0.10
2,-1,991.69,2.93,29.86,94.02,0.10
