3,1,417.89,948.44,241.09,457.33,0.995
3,2,2210.84,3.03,50.34,127.71,0.967
4,1,419.58,961.03,250.24,464.10,0.997
4,2,2210.93,2.94,50.41,127.87,0.968
5,1,426.49,986.74,243.11,445.04,0.994
5,2,2211.28,2.83,49.94,127.98,0.969
6,1,434.03,1010.11,232.47,421.13,0.989
6,2,2211.48,2.72,49.57,128.04,0.971
7,1,444.80,1030.28,230.66,394.81,0.983
7,2,2211.78,2.60,49.45,128.11,0.971
8,1,451.20,1047.42,231.51,377.97,0.981
8,2,2211.94,2.69,49.21,128.10,0.972
9,1,462.01,1069.43,229.63,353.18,0.972
9,2,2212.20,2.86,48.79,127.80,0.973
10,1,469.92,1085.43,221.83,331.61,0.930
10,2,2212.24,2.89,48.79,127.59,0.974
11,1,487.07,1101.28,208.46,314.06,0.904
11,2,2212.32,3.01,48.74,127.42,0.974
12,1,497.74,1120.30,208.05,279.77,0.889
12,2,2212.30,2.90,48.80,127.51,0.974
13,1,506.55,1143.31,210.65,253.07,0.950
13,2,2211.79,2.83,49.40,127.63,0.973
14,1,521.29,1162.32,208.41,256.76,0.983
14,2,2211.39,2.79,49.79,127.75,0.974
15,1,529.51,1183.35,207.81,245.77,0.980
15,2,2211.26,2.70,49.94,127.96,0.974
16,1,540.61,1201.56,195.71,233.32,0.974
16,2,2211.48,2.62,49.59,128.07,0.974
17,1,545.92,1223.97,201.88,214.55,0.978
17,2,2211.60,2.52,49.50,128.13,0.974
17,4,495.73,1181.97,144.41,253.11,0.985
18,1,559.48,1246.40,195.22,193.20,0.983
18,2,2211.85,2.45,49.34,128.23,0.975
18,4,505.47,1205.63,146.30,231.42,0.987
19,1,567.11,1268.52,196.09,170.37,0.982
19,2,2211.82,2.48,49.39,128.19,0.977
19,4,514.07,1223.89,142.54,213.89,0.989
20,1,587.82,1289.34,187.97,149.09,0.979
20,2,2211.83,2.60,49.27,128.12,0.975
20,4,528.18,1246.76,133.95,190.70,0.982
21,1,615.86,1307.40,158.04,131.30,0.951
21,2,2211.72,2.70,49.29,128.08,0.975
21,4,546.66,1272.81,130.01,164.74,0.972
21,5,2488.24,0.20,54.54,87.75,0.839
22,1,649.92,1329.37,123.34,109.56,0.886
22,2,2211.67,2.59,49.34,128.16,0.976
22,4,572.59,1295.86,110.33,142.43,0.977
22,5,2484.67,0.24,58.29,86.49,0.845
23,1,670.74,1357.62,86.80,81.23,0.795
23,2,2211.68,2.50,49.33,128.29,0.974
23,4,612.04,1315.32,78.20,122.52,0.916
23,5,2482.64,0.93,55.36,84.52,0.897
24,1,683.59,1381.08,76.59,57.60,0.571
24,2,2211.86,2.50,49.12,128.22,0.974
24,4,625.28,1338.31,76.69,99.84,0.738
24,5,2482.16,0.97,53.34,84.02,0.872
25,1,707.23,1403.62,47.69,35.83,0.571
25,2,2212.14,2.41,48.87,128.29,0.977
25,4,635.65,1363.76,75.15,74.64,0.728
25,5,2491.80,0.86,41.30,84.39,0.824
26,2,2212.12,2.42,48.97,128.31,0.977
26,4,659.60,1386.26,52.73,52.36,0.728
26,5,2491.49,0.91,40.86,83.51,0.824
27,2,2211.58,2.11,49.98,128.50,0.978
27,5,2494.17,0.66,38.45,84.43,0.678
28,2,2211.55,1.96,50.12,128.55,0.978
28,5,2491.03,0.56,40.52,84.40,0.778
29,2,2211.56,2.10,49.91,128.35,0.978
29,5,2487.08,0.27,42.67,84.49,0.754
30,2,2211.65,2.08,49.80,128.38,0.978
30,5,2487.98,0.07,40.89,84.77,0.762
31,2,2211.53,2.22,49.82,128.31,0.978
31,5,2489.38,0.45,36.65,82.54,0.902
32,2,2211.30,2.24,50.08,128.43,0.976
32,5,2487.73,0.81,35.93,80.11,0.831
33,2,2211.00,2.23,50.42,128.57,0.977
33,5,2468.74,0.58,51.45,78.53,0.867
34,2,2210.94,2.24,50.39,128.56,0.976
34,5,2463.46,0.75,49.85,75.66,0.849
35,2,2210.71,2.16,50.71,128.73,0.977
35,5,2460.33,0.92,49.58,71.36,0.823
